Pořadové číslo;Politický subjekt;Datum publikování;Datum sběru;Odkaz na zdroj;Typ vizualizace;Manipulace osou;;;Porušení konvence;;Chybějící prvky;;;;Přebývající a zmatečné prvky;;
;;;;;;Podseknutá osa;Dvojitá osa;Převrácená osa;Nevhodné řazení;Nevhodné barvy;Chybějící osa či její popis;Neuvedení zdroje;Chybějící název (téma);Absence legendy;3D efekt;Nevhodná vizualizace;Zmatečná vizualizace
90;ODS;09.11.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155919764057700  ;Sloupcový;Y;N;N;N;N;Y;N;N;N;N;N;N
91;ODS;25.10.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155876314617700 ;Sloupcový;Y;N;N;N;N;Y;Y;Y;N;N;N;N
92;ODS;13.10.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155841773462700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
93;ODS;12.10.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155838830402700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
94;ODS;11.10.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155835258742700 ;Sloupcový;Y;N;N;N;N;Y;Y;N;N;N;N;N
95;ODS;05.10.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155817815847700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
96;ODS;04.10.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155815654587700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
97;ODS;26.09.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155794228712700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
98;ODS;13.09.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155759241082700 ;Sloupcový;Y;N;N;N;N;Y;N;Y;N;N;N;N
99;ODS;23.08.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155700445317700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;Y;N
100;ODS;11.08.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155666613802700 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
101;ODS;27.07.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155622631402700 ;Sloupcový;Y;N;N;N;N;Y;N;N;N;N;N;N
102;ODS;13.07.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155570480532700 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
103;ODS;12.07.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155567916877700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
104;ODS;07.07.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155548648397700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
105;ODS;06.07.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155441158057700 ;Sloupcový;Y;N;N;N;N;Y;N;N;N;N;N;N
106;ODS;04.06.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155433318757700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
107;ODS;30.05.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155417113332700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
108;ODS;30.04.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155321429872700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
109;ODS;28.04.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155315178622700 ;Sloupcový;N;N;N;M;N;Y;Y;N;Y;N;M;Y
110;ODS;23.04.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155300665827700 ;Koláčový;X;X;X;N;N;X;Y;N;N;N;N;N
111;ODS;11.04.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155254829882700 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
112;ODS;12.03.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155152289167700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
113;ODS;24.02.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155096135722700 ;Koláčový;X;X;X;Y;N;X;Y;Y;N;N;Y;Y
114;ODS;20.02.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155085917867700 ;Geovizualizace;X;X;X;X;N;X;N;N;N;N;N;N
115;ODS;06.02.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155039910277700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
116;ODS;02.02.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155028623027700 ;Koláčový;X;X;X;M;N;X;Y;N;N;N;Y;N
117;ODS;30.01.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155018011977700 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
118;ODS;23.01.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10154995129782700 ;Geovizualizace;X;X;X;X;M;X;N;N;Y;N;N;Y
119;ODS;12.01.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10154958442232700 ;Liniový;Y;N;N;N;N;N;N;N;N;N;N;N
120;ODS;05.01.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10154936478682700 ;Geovizualizace;X;X;X;X;N;X;N;N;N;N;N;N
121;ODS;06.01.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10154934366562700 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
122;ODS;22.12.2016;23.02.2023;https://www.facebook.com/ods.cz/photos/10154885226002700 ;Jiný;Y;N;N;N;N;N;N;N;N;N;N;N
123;ODS;08.11.2016;23.02.2023;https://www.facebook.com/ods.cz/photos/10154737222702700 ;Sloupcový;Y;N;N;N;N;Y;Y;Y;Y;Y;N;N
124;ODS;27.10.2016;23.02.2023;https://www.facebook.com/ods.cz/photos/10154697331357700 ;Liniový;Y;N;N;N;N;N;N;N;N;N;N;N
125;ODS;04.10.2016;23.02.2023;https://www.facebook.com/ods.cz/photos/10154621018912700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
126;ODS;30.09.2016;23.02.2023;https://www.facebook.com/ods.cz/photos/10154609733147700 ;Sloupcový;Y;N;N;N;N;N;N;N;N;N;N;N
127;ODS;30.09.2016;23.02.2023;https://www.facebook.com/ods.cz/photos/10154609087992700 ;Sloupcový;Y;N;N;N;N;N;N;N;N;N;N;N
128;ODS;25.09.2016;23.02.2023;https://www.facebook.com/ods.cz/photos/10154593838257700 ;Sloupcový;N;N;N;N;N;N;N;N;Y;N;N;N
129;ODS;23.09.2016;23.02.2023;https://www.facebook.com/ods.cz/photos/10154587868227700 ;Liniový;Y;N;N;N;N;Y;N;N;N;N;N;N
130;ODS;10.09.2016;23.02.2023;https://www.facebook.com/ods.cz/photos/10154543108172700 ;Koláčový;X;X;X;M;N;X;Y;Y;N;N;N;N
131;ODS;04.09.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10154524493022700 ;Sloupcový;M;N;N;N;N;Y;Y;Y;N;N;N;Y
132;ODS;27.08.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10154499632652700 ;Sloupcový;N;N;N;N;N;Y;Y;Y;Y;Y;N;N
133;ODS;22.08.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10154484375727700 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
134;ODS;16.08.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10154466968992700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
135;ODS;16.07.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10154381883417700 ;Sloupcový;N;N;N;N;N;Y;N;Y;Y;Y;N;N
136;ODS;29.06.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10154336330742700 ;Sloupcový;Y;N;N;N;N;N;N;N;Y;N;N;N
137;ODS;05.06.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10154274011052700 ;Sloupcový;Y;N;N;N;N;N;N;N;Y;N;N;N
138;ODS;17.05.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10154227498702700 ;Sloupcový;Y;N;N;N;N;Y;N;N;N;N;N;N
139;ODS;14.04.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10154151415502700 ;Sloupcový;N;N;N;N;N;N;N;Y;N;N;N;N
140;ODS;29.03.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10154102926302700;Liniový;Y;N;N;N;N;Y;N;N;N;N;N;N
141;ODS;24.03.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10154081186362700 ;Sloupcový;N;N;N;N;N;N;Y;N;Y;Y;N;N
142;ODS;18.03.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10154056946332700 ;Sloupcový;N;N;N;N;N;Y;N;Y;Y;Y;N;N
143;ODS;16.03.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10154050277057700 ;Sloupcový;Y;N;N;N;Y;Y;N;N;N;N;N;N
144;ODS;26.02.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10153995738082700 ;Sloupcový;N;N;N;N;N;N;N;N;Y;N;N;N
145;ODS;25.02.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10153993487377700 ;Sloupcový;Y;N;N;N;N;Y;N;Y;N;N;N;N
146;ODS;11.02.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10153961898272700 ;Sloupcový;N;N;N;N;N;Y;N;Y;Y;Y;N;N
147;ODS;08.02.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10153955196177700 ;Sloupcový;M;N;N;N;N;Y;Y;N;N;N;N;N
148;ODS;03.02.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10153943977517700 ;Koláčový;X;X;X;M;N;X;Y;N;N;N;Y;N
149;ODS;14.01.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10153900374107700 ;Sloupcový;N;N;N;Y;N;Y;N;N;N;Y;N;N
150;ODS;10.01.2016;24.02.2023;https://www.facebook.com/ods.cz/photos/10153891951267700 ;Liniový;N;N;N;N;N;N;N;Y;N;N;N;N
151;ODS;17.12.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153833229037700 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
152;ODS;15.12.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153829853362700 ;Sloupcový;Y;N;N;N;N;Y;N;Y;N;N;N;N
153;ODS;23.11.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153787057712700 ;Sloupcový;N;N;N;Y;N;Y;N;N;N;Y;N;N
154;ODS;20.11.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153781739077700 ;Sloupcový;M;N;N;N;N;Y;N;N;N;N;N;N
155;ODS;27.10.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153738000302700 ;Koláčový;X;X;X;Y;N;X;Y;N;N;M;N;N
156;ODS;27.10.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153738000292700 ;Koláčový;X;X;X;N;N;X;Y;N;N;M;N;N
157;ODS;27.10.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153738000287700 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
